Key Name,Friendly Name,Short Name,Legend (CP437),Xpos,Ypos,Xsize,Ysize,Usage Page,Usage ID,PS/2 Set 1 Make,PS/2 Set 1 Break,PS/2 Set 2 Make,PS/2 Set 2 Break,,
comma <,Comma/Left Angle Bracket,COMMA,3C 0A 2C,21,15,1,2,07,36,33,B3,41,F0 41,36,Keyboard comma and <2
. >,Period/Right Angle Bracket,PERIOD,3E 0A 2E,23,15,1,2,07,37,34,B4,49,F0 49,37,Keyboard . and >2
/ ?,Forward Slash/Question Mark,FWSLASH,3F 0A 2F,25,15,1,2,07,38,35,B5,4A,F0 4A,38,Keyboard / and ?2
Caps Lock,Caps Lock,CAPS,43 41 50 53 0A 4C 4F 43 4B,1,12,4,2,07,39,3A,BA,58,F0 58,39,Keyboard Caps Lock6
F1,F1,F1,46 31,6,3,3,1,07,3A,3B,BB,05,F0 05,3A,Keyboard F1
F2,F2,F2,46 32,10,3,3,1,07,3B,3C,BC,06,F0 06,3B,Keyboard F2
F3,F3,F3,46 33,14,3,3,1,07,3C,3D,BD,04,F0 04,3C,Keyboard F3
F4,F4,F4,46 34,18,3,3,1,07,3D,3E,BE,0C,F0 0C,3D,Keyboard F4
F5,F5,F5,46 35,23,3,3,1,07,3E,3F,BF,03,F0 03,3E,Keyboard F5
F6,F6,F6,46 36,27,3,3,1,07,3F,40,C0,0B,F0 0B,3F,Keyboard F6
F7,F7,F7,46 37,31,3,3,1,07,40,41,C1,83,F0 83,40,Keyboard F7
F8,F8,F8,46 38,35,3,3,1,07,41,42,C2,0A,F0 0A,41,Keyboard F8
F9,F9,F9,46 39,40,3,3,1,07,42,43,C3,01,F0 01,42,Keyboard F9
F10,F10,F10,46 31 30,44,3,3,1,07,43,44,C4,09,F0 09,43,Keyboard F10
F11,F11,F11,46 31 31,48,3,3,1,07,44,57,D7,78,F0 78,44,Keyboard F11
F12,F12,F12,46 31 32,52,3,3,1,07,45,58,D8,07,F0 07,45,Keyboard F12
Print Screen (Note 1),Print Screen/SysRq,PRTSCR,50 52 54 0A 53 43 52,35,6,3,2,07,46,E0 37,E0 B7,E0 7C,E0 F0 7C,46,Keyboard PrintScreen7
Scroll Lock,Scroll Lock,SCRLOCK,53 43 52 0A 4C 43 4B,39,6,3,2,07,47,46,C6,7E,F0 7E,47,Keyboard Scroll Lock6
Break (Ctrl-Pause),,BREAK,,,,,,07,48,E0 46 E0 C6,None,E0 7E E0 F0 7E,None,,
Pause,Pause/Break,PAUSE,50 53 45 0A 42 52 4B,43,6,3,2,07,48,E1 1D 45 E1 9D C5,None,E1 14 77 E1 F0 14 F0 77,None,48,Keyboard Pause7
Insert (Note 1),Insert (Main),INSERT,49 4E 53,35,9,3,2,07,49,E0 52,E0 D2,E0 70,E0 F0 70,49,Keyboard Insert7
Home (Note 1),Home (Main),HOME,48 4F 4D,39,9,3,2,07,4A,E0 47,E0 C7,E0 6C,E0 F0 6C,4A,Keyboard Home7
Page Up (Note 1),Page Up (Main),PGUP,50 47 0A 55 50,43,9,3,2,07,4B,E0 49,E0 C9,E0 7D,E0 F0 7D,4B,Keyboard PageUp7
Delete (Note 1),Delete (Main),DELETE,44 45 4C,35,12,3,2,07,4C,E0 53,E0 D3,E0 71,E0 F0 71,4C,Keyboard Delete Forward
End (Note 1),End (Main),END,45 4E 44,39,12,3,2,07,4D,E0 4F,E0 CF,E0 69,E0 F0 69,4D,Keyboard End7
Page Down (Note 1),Page Down (Main),PGDN,50 47 0A 44 4E,43,12,3,2,07,4E,E0 51,E0 D1,E0 7A,E0 F0 7A,4E,Keyboard PageDown7
Right Arrow (Note 1),Right Arrow (Main),RIGHT,20 10 20,43,18,3,1,07,4F,E0 4D,E0 CD,E0 74,E0 F0 74,4F,Keyboard RightArrow7
Left Arrow (Note 1),Left Arrow (Main),LEFT,20 11 20,35,18,3,1,07,50,E0 4B,E0 CB,E0 6B,E0 F0 6B,50,Keyboard LeftArrow7
Down Arrow (Note 1),Down Arrow (Main),DOWN,20 1F 20,39,18,3,1,07,51,E0 50,E0 D0,E0 72,E0 F0 72,51,Keyboard DownArrow7
Up Arrow (Note 1),Up Arrow (Main),UP,20 1E 20,39,16,3,1,07,52,E0 48,E0 C8,E0 75,E0 F0 75,52,Keyboard UpArrow7
Num Lock,Num Lock,NUMLCK,4E 4C,48,6,2,1,07,53,45,C5,77,F0 77,53,Keypad Num Lock and Clear6
Keypad / (Note 1),Forward Slash (Keypad),PADFWSLASH,2F,51,6,2,1,07,54,E0 35,E0 B5,E0 4A,E0 F0 4A,54,Keypad /7
Keypad *,Asterisk (Keypad),PADASTERISK,2A,54,6,2,1,07,55,37,B7,7C,F0 7C,55,Keypad *
Keypad -,Minus (Keypad),PADMINUS,2D,57,6,2,1,07,56,4A,CA,7B,F0 7B,56,Keypad -
Keypad +,Plus (Keypad),PADPLUS,2B,57,8,2,2,07,57,4E,CE,79,F0 79,57,Keypad +
Keypad Enter,Enter (Keypad),PADENTER,45 4E 0A 54 52,57,17,2,2,07,58,E0 1C,E0 9C,E0 5A,E0 F0 5A,58,Keypad ENTER3
Keypad 1 End,One/End (Keypad),PAD1,31 0A 45 4E,48,14,2,2,07,59,4F,CF,69,F0 69,59,Keypad 1 and End
Keypad 2 Down,Two/Downarrow (Keypad),PAD2,32 0A 1F,51,14,2,2,07,5A,50,D0,72,F0 72,5A,Keypad 2 and Down Arrow
Keypad 3 PageDn,Three/Page Down (Keypad),PAD3,33 0A 50 44,54,14,2,2,07,5B,51,D1,7A,F0 7A,5B,Keypad 3 and PageDn
Keypad 4 Left,Four/Left Arrow (Keypad),PAD4,34 0A 11,48,11,2,2,07,5C,4B,CB,6B,F0 6B,5C,Keypad 4 and Left Arrow
Keypad 5,Five (Keypad),PAD5,35,51,11,2,2,07,5D,4C,CC,73,F0 73,5D,Keypad 5
Keypad 6 Right,Six/Right Arrow (Keypad),PAD6,36 0A 10,54,11,2,2,07,5E,4D,CD,74,F0 74,5E,Keypad 6 and Right Arrow
Keypad 7 Home,Seven/Home (Keypad),PAD7,37 0A 48 4D,48,8,2,2,07,5F,47,C7,6C,F0 6C,5F,Keypad 7 and Home
Keypad 8 Up,Eight/Up Arrow (Keypad),PAD8,38 0A 1E,51,8,2,2,07,60,48,C8,75,F0 75,60,Keypad 8 and Up Arrow
Keypad 9 PageUp,Nine/Page Up (Keypad),PAD9,39 0A 50 55,54,8,2,2,07,61,49,C9,7D,F0 7D,61,Keypad 9 and PageUp
Keypad 0 Insert,Zero/Insert (Keypad),PAD0,30 0A 49 4E 53,48,17,5,2,07,62,52,D2,70,F0 70,62,Keypad 0 and Insert
Keypad . Delete,Period/Delete (Keypad),PADPERIOD,2E 0A 44 4C,54,17,2,2,07,63,53,D3,71,F0 71,63,Keypad . and Delete
Europe 2 (Note 2),Backslash/Pipe (Europe),EURO2,7C 0A 5C,5,15,1,2,07,64,56,D6,61,F0 61,64,Keyboard Non-US \and |
App,App,APP,4D 4E 55,25,18,3,1,07,65,E0 5D,E0 DD,E0 2F,E0 F0 2F,65,Keyboard Application11
